,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,NextBusTime,EstimateTime,Estimates
0,,KHH30978,30978,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",0,10,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
1,,KHH30987,30987,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",1,6,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
2,,KHH33259,33259,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",0,10,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
3,,KHH33268,33268,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",1,6,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
4,,KHH3633,3633,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",0,4,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
5,,KHH4446,4446,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",1,25,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
6,,KHH3633,3633,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",0,4,1,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,2021-12-14T20:13:00+08:00,,
7,773-FP,KHH4446,4446,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",1,25,0,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,2021-12-14T20:28:00+08:00,1260.0,"[{'PlateNumb': '773-FP', 'EstimateTime': 1260, 'IsLastBus': False}]"
8,,KHH3633,3633,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",0,4,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
9,,KHH4446,4446,"{'Zh_tw': '高鐵左營站', 'En': 'THSR Zuoying Station'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",1,27,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
