,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,TDK-1113,KHH30996,30996,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",0,0.0,2,0,2021-12-14T20:36:00+08:00,"[{'PlateNumb': 'TDK-1113', 'EstimateTime': 0, 'IsLastBus': False}]",2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
1,,KHH30233,30233,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",0,,2,1,2021-12-14T22:51:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
2,,KHH32228,32228,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",0,,2,1,,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
3,,KHH33277,33277,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",0,,2,1,2021-12-14T21:41:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
4,,KHH33326,33326,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",0,,2,1,2021-12-14T20:11:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
5,,KHH5731,5731,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,,23,1,2021-12-14T20:13:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
6,916-V2,KHH5733,5733,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,1440.0,39,0,2021-12-14T20:28:00+08:00,"[{'PlateNumb': '916-V2', 'EstimateTime': 1440, 'IsLastBus': False}]",2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
7,,KHH5731,5731,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",0,,2,1,2021-12-14T20:05:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
8,,KHH5732,5732,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH851,851,"{'Zh_tw': '紅51A', 'En': 'Red51A'}",KHH851,851,"{'Zh_tw': '紅51A', 'En': 'Red51A'}",0,,2,3,,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
9,,KHH5732,5732,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH8511,8511,"{'Zh_tw': '紅51B', 'En': 'Red51B'}",KHH8511,8511,"{'Zh_tw': '紅51B', 'En': 'Red51B'}",0,,2,1,,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
10,,KHH5734,5734,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH8531,8531,"{'Zh_tw': '紅53梓官幹線-主', 'En': 'Red53A'}",KHH8531,8531,"{'Zh_tw': '紅53梓官幹線-主', 'En': 'Red53A'}",0,,2,1,2021-12-14T20:10:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
11,,KHH5734,5734,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH8532,8532,"{'Zh_tw': '紅53梓官幹線-區間(原 紅55)', 'En': 'Red53(Interval)'}",KHH8532,8532,"{'Zh_tw': '紅53梓官幹線-區間(原 紅55)', 'En': 'Red53(Interval)'}",0,,2,1,2021-12-14T20:30:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
12,,KHH5734,5734,"{'Zh_tw': '半屏山後巷', 'En': 'Back Lane of Banping Mt.'}",KHH8533,8533,"{'Zh_tw': '紅53梓官幹線-副', 'En': 'Red53B'}",KHH8533,8533,"{'Zh_tw': '紅53梓官幹線-副', 'En': 'Red53B'}",0,,2,1,2021-12-14T20:25:00+08:00,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00
