,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,NextBusTime,EstimateTime,Estimates
0,,KHH30231,30231,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",1,18,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
1,,KHH30995,30995,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",0,1,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
2,,KHH30232,30232,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",0,1,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
3,,KHH30277,30277,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",1,20,1,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,2021-12-14T23:42:00+08:00,,
4,,KHH32227,32227,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",0,1,1,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
5,,KHH32337,32337,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",1,15,1,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
6,,KHH33276,33276,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",0,1,1,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,2021-12-14T23:00:00+08:00,,
7,,KHH33324,33324,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",1,18,1,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,2021-12-14T23:37:00+08:00,,
8,,KHH33325,33325,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",0,1,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
9,,KHH33370,33370,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",1,20,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
10,,KHH5176,5176,"{'Zh_tw': '臺鐵新左營站', 'En': 'TRA New Zuoying Station'}",KHH245,245,"{'Zh_tw': '245A', 'En': '245A'}",KHH245,245,"{'Zh_tw': '245A', 'En': '245A'}",0,45,3,2021-12-14T23:00:27+08:00,2021-12-14T23:00:47+08:00,,,
