,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH12340,12340,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",0,5,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
1,,KHH12346,12346,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",1,3,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
2,FAG-610,KHH12340,12340,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",0,11,0,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,0.0,2021-12-24T22:49:00+08:00,"[{'PlateNumb': 'FAG-610', 'EstimateTime': 0, 'IsLastBus': False, 'VehicleStopStatus': 1}]"
3,,KHH12346,12346,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",1,2,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,2021-12-24T22:42:00+08:00,
4,,KHH12340,12340,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",0,5,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
5,,KHH12346,12346,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",1,14,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
6,,KHH516,516,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",0,5,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
7,,KHH518,518,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",1,1,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
8,,KHH516,516,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",0,4,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
9,,KHH518,518,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",1,1,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
10,,KHH511,511,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",0,7,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
11,,KHH515,515,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",1,1,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
12,,KHH511,511,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",0,6,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
13,,KHH515,515,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",1,1,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
14,EAL-2876,KHH14870,14870,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",1,14,0,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,300.0,2021-12-24T22:23:00+08:00,"[{'PlateNumb': 'EAL-2876', 'EstimateTime': 300, 'IsLastBus': True}]"
15,,KHH5249,5249,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",0,32,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
16,,KHH14870,14870,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",1,8,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
17,,KHH5249,5249,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",0,25,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
18,,KHH5249,5249,"{'Zh_tw': '樹德科技大學(校區)', 'En': 'Shu-Te University (Campus)'}",KHH732,732,"{'Zh_tw': '7D', 'En': '7D'}",KHH732,732,"{'Zh_tw': '7D', 'En': '7D'}",1,1,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
