,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,NextBusTime
0,,KHH30976,30976,"{'Zh_tw': '重平路口', 'En': 'Chongping Rd. Intersection'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",KHH15110,15110,"{'Zh_tw': '紅50公車式小黃', 'En': 'Red50'}",0,8,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
1,,KHH33257,33257,"{'Zh_tw': '重平路口', 'En': 'Chongping Rd. Intersection'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",KHH15211,15211,"{'Zh_tw': '紅50 (預約)', 'En': 'Red50 (Order)'}",0,8,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
2,,KHH4439,4439,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",1,22,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
3,,KHH4439,4439,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",1,22,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
4,,KHH4439,4439,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",1,24,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
5,,KHH11285,11285,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",1,29,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
6,,KHH4441,4441,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",0,8,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
7,,KHH11285,11285,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",1,29,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
8,,KHH4441,4441,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",0,8,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
9,,KHH927,927,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH850,850,"{'Zh_tw': '紅50', 'En': 'Red50'}",KHH850,850,"{'Zh_tw': '紅50', 'En': 'Red50'}",0,8,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
10,,KHH8727,8727,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH861,861,"{'Zh_tw': '紅61', 'En': 'Red61'}",KHH861,861,"{'Zh_tw': '紅61', 'En': 'Red61'}",0,2,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
11,,KHH4440,4440,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH90,90,"{'Zh_tw': '90民族幹線', 'En': '90 Minzu Main Line'}",KHH90,90,"{'Zh_tw': '90民族幹線', 'En': '90 Minzu Main Line'}",0,2,1,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,2021-12-14T23:12:00+08:00
12,,KHH4442,4442,"{'Zh_tw': '重平路口', 'En': 'Jhongping Rd. Intersection'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",0,2,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,
