,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,EAL-2820,KHH7277,7277,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",1,480.0,22,0,2021-12-15T23:02:00+08:00,"[{'PlateNumb': 'EAL-2820', 'EstimateTime': 480, 'IsLastBus': False}]",2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
1,,KHH15394,15394,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",0,,26,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
2,,KHH15394,15394,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",0,,28,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
3,EAL-2875,KHH1617,1617,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",0,240.0,51,0,2021-12-15T23:00:00+08:00,"[{'PlateNumb': 'EAL-2875', 'EstimateTime': 240, 'IsLastBus': True}]",2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
4,EAL-2875,KHH2894,2894,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",1,420.0,1,0,2021-12-15T23:02:00+08:00,"[{'PlateNumb': 'EAL-2875', 'EstimateTime': 420, 'IsLastBus': True}]",2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
5,,KHH1617,1617,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",0,,55,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
6,,KHH2894,2894,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",1,,1,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
7,773-FP,KHH2893,2893,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",1,2220.0,2,0,2021-12-15T23:27:00+08:00,"[{'PlateNumb': '773-FP', 'EstimateTime': 2220, 'IsLastBus': False}]",2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
8,,KHH4461,4461,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,,2,1,2021-12-15T22:56:00+08:00,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
9,,KHH4461,4461,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",1,,2,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
10,EAL-0159,KHH8441,8441,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH7001,7001,"{'Zh_tw': '綠1南', 'En': 'Green1 South'}",KHH7001,7001,"{'Zh_tw': '綠1南', 'En': 'Green1 South'}",1,660.0,7,0,2021-12-15T23:03:00+08:00,"[{'PlateNumb': 'EAL-0159', 'EstimateTime': 660, 'IsLastBus': True}]",2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
11,,KHH2895,2895,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH827,827,"{'Zh_tw': '紅27', 'En': 'Red27'}",KHH827,827,"{'Zh_tw': '紅27', 'En': 'Red27'}",0,,6,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
12,,KHH4464,4464,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",1,,2,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
13,,KHH4464,4464,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",1,,2,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
14,,KHH15773,15773,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",1,,2,3,,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00
