,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,526-FP,168環西幹線,市立聯合醫院,260,6分,漢神巨蛋,3702
1,586-FP,168環東幹線,市立聯合醫院,261,6分,漢神巨蛋,3702
2,266-XH,168環東幹線,市立聯合醫院,261,22分,漢神巨蛋,3702
3,526-FP,168環西幹線,龍德路口(大順一路),4158,3分,漢神巨蛋,3702
4,586-FP,168環東幹線,龍德路口(大順一路),4159,9分,漢神巨蛋,3702
5,266-XH,168環東幹線,龍德路口(大順一路),4159,25分,漢神巨蛋,3702
6,586-FP,168環東幹線,龍華國小,4197,10分,漢神巨蛋,3702
7,266-XH,168環東幹線,龍華國小,4197,26分,漢神巨蛋,3702
8,586-FP,168環東幹線,裕誠路口(大順一路),4277,8分,漢神巨蛋,3702
9,266-XH,168環東幹線,裕誠路口(大順一路),4277,25分,漢神巨蛋,3702
10,526-FP,168環西幹線,裕誠路口(大順一路),4278,4分,漢神巨蛋,3702
11,526-FP,168環西幹線,市立聯合醫院,260,6分,捷運巨蛋站,3704
12,586-FP,168環東幹線,市立聯合醫院,261,6分,捷運巨蛋站,3704
13,266-XH,168環東幹線,市立聯合醫院,261,22分,捷運巨蛋站,3704
14,526-FP,168環西幹線,龍德路口(大順一路),4158,3分,捷運巨蛋站,3704
15,586-FP,168環東幹線,龍德路口(大順一路),4159,9分,捷運巨蛋站,3704
16,266-XH,168環東幹線,龍德路口(大順一路),4159,25分,捷運巨蛋站,3704
17,586-FP,168環東幹線,龍華國小,4197,10分,捷運巨蛋站,3704
18,266-XH,168環東幹線,龍華國小,4197,26分,捷運巨蛋站,3704
19,586-FP,168環東幹線,裕誠路口(大順一路),4277,8分,捷運巨蛋站,3704
20,266-XH,168環東幹線,裕誠路口(大順一路),4277,25分,捷運巨蛋站,3704
21,526-FP,168環西幹線,裕誠路口(大順一路),4278,4分,捷運巨蛋站,3704
