,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,916-V2,301,臺鐵新左營站,211,19分,建國林森路口,258
1,781-FP,301,臺鐵新左營站,211,45分,建國林森路口,258
2,916-V2,301,菜公一路口,4149,18分,建國林森路口,258
3,781-FP,301,菜公一路口,4149,44分,建國林森路口,258
4,916-V2,301,半屏山後巷,4178,20分,建國林森路口,258
5,781-FP,301,半屏山後巷,4178,46分,建國林森路口,258
6,109-V3,92自由幹線,高鐵路口(左營新光三越),4614,13分,建國林森路口,258
7,916-V2,301,臺鐵新左營站,211,19分,建國林森路口,259
8,781-FP,301,臺鐵新左營站,211,45分,建國林森路口,259
9,916-V2,301,菜公一路口,4149,18分,建國林森路口,259
10,781-FP,301,菜公一路口,4149,44分,建國林森路口,259
11,916-V2,301,半屏山後巷,4178,20分,建國林森路口,259
12,781-FP,301,半屏山後巷,4178,46分,建國林森路口,259
13,109-V3,92自由幹線,高鐵路口(左營新光三越),4614,13分,建國林森路口,259
14,916-V2,301,臺鐵新左營站,211,19分,高雄車站(建國路),882
15,781-FP,301,臺鐵新左營站,211,45分,高雄車站(建國路),882
16,916-V2,301,菜公一路口,4149,18分,高雄車站(建國路),882
17,781-FP,301,菜公一路口,4149,44分,高雄車站(建國路),882
18,916-V2,301,半屏山後巷,4178,20分,高雄車站(建國路),882
19,781-FP,301,半屏山後巷,4178,46分,高雄車站(建國路),882
20,109-V3,92自由幹線,高鐵路口(左營新光三越),4614,12分,高雄車站(建國路),882
