,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,808-V2,E04,樹德科技大學(校區),2258,1980,高雄科大(燕巢),2347
1,179-FT,7A,樹德科技大學(校區),2258,480,高雄科大(燕巢),2347
2,EAL-2878,7A,樹德科技大學(校區),2258,2160,高雄科大(燕巢),2347
3,EAL-2878,7A,樹德科技大學(校區),2258,240,高雄科大(燕巢),2347
4,808-V2,E04,橫山路口,832,2340,高雄科大(燕巢),2347
5,EAL-2878,7A,橫山路口,832,480,高雄科大(燕巢),2347
6,179-FT,7A,橫山路口,833,360,高雄科大(燕巢),2347
7,EAL-2878,7A,橫山路口,833,2040,高雄科大(燕巢),2347
8,808-V2,E04,樹德科技大學(橫山路),834,2220,高雄科大(燕巢),2347
9,179-FT,7A,樹德科技大學(橫山路),835,780,高雄科大(燕巢),2347
10,EAL-2878,7A,樹德科技大學(橫山路),835,2400,高雄科大(燕巢),2347
11,808-V2,E04,樹德科技大學(校區),2258,1980,竹崎(高雄科大.燕巢),822
12,179-FT,7A,樹德科技大學(校區),2258,480,竹崎(高雄科大.燕巢),822
13,EAL-2878,7A,樹德科技大學(校區),2258,2160,竹崎(高雄科大.燕巢),822
14,EAL-2878,7A,樹德科技大學(校區),2258,240,竹崎(高雄科大.燕巢),822
15,808-V2,E04,橫山路口,832,2340,竹崎(高雄科大.燕巢),822
16,EAL-2878,7A,橫山路口,832,480,竹崎(高雄科大.燕巢),822
17,178-FX,8023,橫山路口,832,2340,竹崎(高雄科大.燕巢),822
18,179-FT,7A,橫山路口,833,360,竹崎(高雄科大.燕巢),822
19,EAL-2878,7A,橫山路口,833,2040,竹崎(高雄科大.燕巢),822
20,808-V2,E04,樹德科技大學(橫山路),834,2220,竹崎(高雄科大.燕巢),822
21,178-FX,8023,樹德科技大學(橫山路),834,2280,竹崎(高雄科大.燕巢),822
22,179-FT,7A,樹德科技大學(橫山路),835,780,竹崎(高雄科大.燕巢),822
23,EAL-2878,7A,樹德科技大學(橫山路),835,2400,竹崎(高雄科大.燕巢),822
24,808-V2,E04,樹德科技大學(校區),2258,1980,竹崎(高雄科大.燕巢),823
25,179-FT,7A,樹德科技大學(校區),2258,480,竹崎(高雄科大.燕巢),823
26,EAL-2878,7A,樹德科技大學(校區),2258,2160,竹崎(高雄科大.燕巢),823
27,EAL-2878,7A,樹德科技大學(校區),2258,240,竹崎(高雄科大.燕巢),823
28,808-V2,E04,橫山路口,832,2340,竹崎(高雄科大.燕巢),823
29,EAL-2878,7A,橫山路口,832,480,竹崎(高雄科大.燕巢),823
30,178-FX,8023,橫山路口,832,2340,竹崎(高雄科大.燕巢),823
31,179-FT,7A,橫山路口,833,360,竹崎(高雄科大.燕巢),823
32,EAL-2878,7A,橫山路口,833,2040,竹崎(高雄科大.燕巢),823
33,808-V2,E04,樹德科技大學(橫山路),834,2220,竹崎(高雄科大.燕巢),823
34,178-FX,8023,樹德科技大學(橫山路),834,2280,竹崎(高雄科大.燕巢),823
35,179-FT,7A,樹德科技大學(橫山路),835,780,竹崎(高雄科大.燕巢),823
36,EAL-2878,7A,樹德科技大學(橫山路),835,2400,竹崎(高雄科大.燕巢),823
