公車路線,出發站,目標站,預計到站時間
7A,石格,建楠路,"24分, 38分, 52分, 34分, 49分, 63分, 24分, 38分, 52分, 34分, 49分, 63分"
7A,石格,慈雲寺(楠梓區公所),"24分, 38分, 52分, 34分, 49分, 63分, 24分, 38分, 52分, 34分, 49分, 63分"
7A,石格,楠梓火車站,"24分, 38分, 52分, 34分, 49分, 63分, 24分, 38分, 52分, 34分, 49分, 63分"
7A,竹崎(高雄科大.燕巢),建楠路,"22分, 37分, 51分, 35分, 50分, 64分, 22分, 37分, 51分, 35分, 50分, 64分"
7A,竹崎(高雄科大.燕巢),慈雲寺(楠梓區公所),"22分, 37分, 51分, 35分, 50分, 64分, 22分, 37分, 51分, 35分, 50分, 64分"
7A,竹崎(高雄科大.燕巢),楠梓火車站,"22分, 37分, 51分, 35分, 50分, 64分, 22分, 37分, 51分, 35分, 50分, 64分"
7A,高雄科大(燕巢),建楠路,"20分, 35分, 49分, 20分, 35分, 49分"
7A,高雄科大(燕巢),慈雲寺(楠梓區公所),"20分, 35分, 49分, 20分, 35分, 49分"
7A,高雄科大(燕巢),楠梓火車站,"20分, 35分, 49分, 20分, 35分, 49分"
8023,石格,楠梓站,"11分, 11分"
8023,竹崎(高雄科大.燕巢),楠梓站,"11分, 11分"
