,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,917-FY,E04,高雄科大(燕巢),2347,1740,樹德科技大學(校區),2258
1,179-FT,7A,高雄科大(燕巢),2347,2640,樹德科技大學(校區),2258
2,170-FT,7A,高雄科大(燕巢),2347,3900,樹德科技大學(校區),2258
3,179-FT,7A,高雄科大(燕巢),2347,1740,樹德科技大學(校區),2258
4,170-FT,7A,高雄科大(燕巢),2347,3000,樹德科技大學(校區),2258
5,EAL-2877,7C,高雄科大(燕巢),2347,60,樹德科技大學(校區),2258
6,917-FY,E04,竹崎(高雄科大.燕巢),822,1860,樹德科技大學(校區),2258
7,179-FT,7A,竹崎(高雄科大.燕巢),822,1860,樹德科技大學(校區),2258
8,170-FT,7A,竹崎(高雄科大.燕巢),822,3120,樹德科技大學(校區),2258
9,179-FT,7A,竹崎(高雄科大.燕巢),823,2580,樹德科技大學(校區),2258
10,170-FT,7A,竹崎(高雄科大.燕巢),823,3840,樹德科技大學(校區),2258
11,917-FY,E04,高雄科大(燕巢),2347,1740,橫山路口,832
12,179-FT,7A,高雄科大(燕巢),2347,2640,橫山路口,832
13,170-FT,7A,高雄科大(燕巢),2347,3900,橫山路口,832
14,179-FT,7A,高雄科大(燕巢),2347,1740,橫山路口,832
15,170-FT,7A,高雄科大(燕巢),2347,3000,橫山路口,832
16,EAL-2877,7C,高雄科大(燕巢),2347,60,橫山路口,832
17,917-FY,E04,竹崎(高雄科大.燕巢),822,1860,橫山路口,832
18,179-FT,7A,竹崎(高雄科大.燕巢),822,1860,橫山路口,832
19,170-FT,7A,竹崎(高雄科大.燕巢),822,3120,橫山路口,832
20,776-V2,8023,竹崎(高雄科大.燕巢),822,1080,橫山路口,832
21,179-FT,7A,竹崎(高雄科大.燕巢),823,2580,橫山路口,832
22,170-FT,7A,竹崎(高雄科大.燕巢),823,3840,橫山路口,832
23,917-FY,E04,高雄科大(燕巢),2347,1740,橫山路口,833
24,179-FT,7A,高雄科大(燕巢),2347,2640,橫山路口,833
25,170-FT,7A,高雄科大(燕巢),2347,3900,橫山路口,833
26,179-FT,7A,高雄科大(燕巢),2347,1740,橫山路口,833
27,170-FT,7A,高雄科大(燕巢),2347,3000,橫山路口,833
28,EAL-2877,7C,高雄科大(燕巢),2347,60,橫山路口,833
29,917-FY,E04,竹崎(高雄科大.燕巢),822,1860,橫山路口,833
30,179-FT,7A,竹崎(高雄科大.燕巢),822,1860,橫山路口,833
31,170-FT,7A,竹崎(高雄科大.燕巢),822,3120,橫山路口,833
32,776-V2,8023,竹崎(高雄科大.燕巢),822,1080,橫山路口,833
33,179-FT,7A,竹崎(高雄科大.燕巢),823,2580,橫山路口,833
34,170-FT,7A,竹崎(高雄科大.燕巢),823,3840,橫山路口,833
35,917-FY,E04,高雄科大(燕巢),2347,1740,樹德科技大學(橫山路),834
36,917-FY,E04,竹崎(高雄科大.燕巢),822,1860,樹德科技大學(橫山路),834
37,776-V2,8023,竹崎(高雄科大.燕巢),822,1080,樹德科技大學(橫山路),834
38,917-FY,E04,高雄科大(燕巢),2347,1740,樹德科技大學(橫山路),835
39,179-FT,7A,高雄科大(燕巢),2347,2640,樹德科技大學(橫山路),835
40,170-FT,7A,高雄科大(燕巢),2347,3900,樹德科技大學(橫山路),835
41,179-FT,7A,高雄科大(燕巢),2347,1740,樹德科技大學(橫山路),835
42,170-FT,7A,高雄科大(燕巢),2347,3000,樹德科技大學(橫山路),835
43,EAL-2877,7C,高雄科大(燕巢),2347,60,樹德科技大學(橫山路),835
44,917-FY,E04,竹崎(高雄科大.燕巢),822,1860,樹德科技大學(橫山路),835
45,179-FT,7A,竹崎(高雄科大.燕巢),822,1860,樹德科技大學(橫山路),835
46,170-FT,7A,竹崎(高雄科大.燕巢),822,3120,樹德科技大學(橫山路),835
47,776-V2,8023,竹崎(高雄科大.燕巢),822,1080,樹德科技大學(橫山路),835
48,179-FT,7A,竹崎(高雄科大.燕巢),823,2580,樹德科技大學(橫山路),835
49,170-FT,7A,竹崎(高雄科大.燕巢),823,3840,樹德科技大學(橫山路),835
