,station_name,lat,lng,district
0,捷運橋頭火車站,22.75931,120.30988,Q855+PXC 台灣高雄市橋頭區
1,高雄高商(五褔二路),22.62546,120.30784,J8G5+54P 台灣高雄市新興區
2,澄清湖,22.65331,120.34949,M83X+8QH 台灣高雄市鳥松區
3,察哈爾街口,22.64692,120.29658,J7WW+QJ8 台灣高雄市三民區
4,臺鐵鳳山站,22.63155,120.35767,J9J5+J3F 台灣高雄市鳳山區
5,下勤和,23.16805,120.7756,5Q9G+669 台灣高雄市桃源區
6,衛武社區,22.62695,120.34431,J8GV+QPF 台灣高雄市苓雅區
7,美術館(明誠四路),22.66205,120.28635,M76P+RG9 台灣高雄市鼓山區
8,五福民權路口(高雄高商),22.62615,120.31039,J8G6+F52 台灣高雄市新興區
9,安東街口(十全二路),22.64599,120.29533,J7WW+94W 台灣高雄市三民區
10,中央圓環,22.72192,120.30482,P8C3+QW8 台灣高雄市楠梓區
11,明正國小(捷運草衙站),22.58118,120.3277,H8JH+F3G 台灣高雄市前鎮區
12,文學院,22.63374,120.26131,J7M6+FGV 台灣高雄市鼓山區
13,中鴻鋼鐵(岡山),22.82472,120.29884,R7FX+VGP 台灣高雄市岡山區
14,臺鐵正義站(澄清路),22.63416,120.34456,J8MV+MR7 台灣高雄市三民區
15,重和路口,22.68218,120.3142,M8J7+VMG 台灣高雄市左營區
16,中賢里,22.90801,120.20602,W654+6C2 台灣高雄市湖內區
17,中興(新發公路),22.99612,120.64309,XJWV+C6W 台灣高雄市六龜區
18,育德街口,22.81186,120.28008,R76J+P2W 台灣高雄市岡山區
19,四維國小(民權一路),22.62274,120.31216,J8F6+3VV 台灣高雄市苓雅區
20,輕軌凱旋公園站(中正一路),22.62996,120.32408,J8HF+XJP 台灣高雄市苓雅區
21,茄萣站,22.86876,120.19884,V59X+GG4 台灣高雄市茄萣區
22,五福中正路口,22.62973,120.32064,J8HC+V7R 台灣高雄市苓雅區
23,木業公司(六龜),23.00046,120.64495,2J2V+5XP 台灣高雄市六龜區
24,大寮農會,22.60159,120.39788,J92X+J5J 台灣高雄市大寮區
25,美崙山,23.06753,120.68565,3M9P+276 台灣高雄市六龜區
26,中崙一路,22.6009,120.35051,J922+962 台灣高雄市鳳山區
27,衛武營都會公園(南京路),22.61798,120.34572,J89W+57X 台灣高雄市鳳山區
28,必勝路,22.67543,120.284,M7GM+5HH 台灣高雄市左營區
29,復華中學,22.6205,120.31417,J8C7+5MV 台灣高雄市苓雅區
30,鳳山行政中心(澄清路),22.63032,120.34451,J8JV+4RC 台灣高雄市鳳山區
31,正義高中,22.60113,120.34013,J82R+F32 台灣高雄市鳳山區
32,捷運楠梓加工區站,22.71835,120.30649,P894+8HX 台灣高雄市楠梓區
33,先鋒路,22.67865,120.28271,M7HM+F38 台灣高雄市左營區
34,金屬中心,22.71441,120.32599,P87G+Q99 台灣高雄市楠梓區
35,監理所(高楠路),22.73266,120.32024,P8MC+339 台灣高雄市楠梓區
36,成功南路,22.7506,120.31406,Q827+6JM 台灣高雄市橋頭區
37,新庄(新莊路),22.74556,120.30183,P8W2+6PG 台灣高雄市橋頭區
38,高雄車站(中山路),22.63682,120.30221,J8P2+PVG 台灣高雄市三民區
39,鳳南路口,22.59217,120.3404,H8RR+V56 台灣高雄市鳳山區
40,濟天宮(國慶六街),22.58758,120.33797,H8QQ+25Q 台灣高雄市前鎮區
41,六龜新站(親水公園),23.00615,120.64858,2J4X+FC4 台灣高雄市六龜區
42,灣子內(岡山),22.80953,120.28278,R75M+R46 台灣高雄市岡山區
43,北嶺墘,22.82115,120.26947,R7C9+FQ9 台灣高雄市路竹區
44,味全公司,22.82728,120.26658,R7G8+WJ8 台灣高雄市路竹區
45,立大食品廠,22.83649,120.26476,R7P7+HWR 台灣高雄市路竹區
46,鳳鳴國小,22.51528,120.35778,G985+446 台灣高雄市小港區
47,東盟公司,22.84868,120.26247,R7X6+FXH 台灣高雄市路竹區
48,南路竹,22.85523,120.26117,V746+3FV 台灣高雄市路竹區
49,路竹,22.859,120.26014,V756+H3R 台灣高雄市路竹區
50,北路竹,22.86303,120.25795,V775+658 台灣高雄市路竹區
51,國際商工(輕軌五權國小站),22.62103,120.32644,J8CG+CH8 台灣高雄市苓雅區
52,高新醫院,22.86554,120.25679,V784+6P7 台灣高雄市路竹區
53,中山大仁路口,22.87349,120.25422,V7F3+9MX 台灣高雄市路竹區
54,大湖火車站,22.87771,120.25243,V7H2+3XM 台灣高雄市湖內區
55,橡膠廠,22.59477,120.28243,H7VJ+WX3 台灣高雄市前鎮區
56,烏松,22.59842,120.28018,H7XJ+937 台灣高雄市前鎮區
57,南勢巷站,22.77639,120.41319,QCG7+H74 台灣高雄市燕巢區
58,台農飼料廠,22.8982,120.23618,V6XP+7FM 台灣高雄市湖內區
59,牛蹄寮(富樂夢觀光工廠),22.90227,120.2319,W62J+WQ2 台灣高雄市湖內區
60,太爺(湖內國中),22.90895,120.22739,W65G+HXJ 台灣高雄市湖內區
61,嘉南藥理大學,22.92101,120.22506,W6CG+C23 台灣台南市仁德區
62,三信家商,22.62199,120.32926,J8CH+QPR 台灣高雄市苓雅區
63,保安里,22.92356,120.22375,W6FF+CFH 台灣台南市仁德區
64,橋頭市場,22.75525,120.31129,Q846+4G3 台灣高雄市橋頭區
65,台糖花卉中心,22.74092,120.3251,P8RG+929 台灣高雄市楠梓區
66,牛稠仔,22.95366,120.21774,X639+F39 台灣台南市仁德區
