,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,916-V2,301,建國林森路口,259,6分,臺鐵新左營站,211
1,781-FP,301,建國林森路口,259,44分,臺鐵新左營站,211
2,916-V2,301,高雄車站(建國路),882,3分,臺鐵新左營站,211
3,781-FP,301,高雄車站(建國路),882,42分,臺鐵新左營站,211
4,916-V2,301,建國林森路口,259,6分,菜公一路口,4149
5,781-FP,301,建國林森路口,259,44分,菜公一路口,4149
6,916-V2,301,高雄車站(建國路),882,3分,菜公一路口,4149
7,781-FP,301,高雄車站(建國路),882,42分,菜公一路口,4149
8,916-V2,301,建國林森路口,259,6分,半屏山後巷,4178
9,781-FP,301,建國林森路口,259,44分,半屏山後巷,4178
10,916-V2,301,高雄車站(建國路),882,3分,半屏山後巷,4178
11,781-FP,301,高雄車站(建國路),882,42分,半屏山後巷,4178
