"index","station_name","latlng","lat","lng","district"
"0","捷運橋頭火車站","22.75931,120.30988","22.75931","120.30988","高雄市橋頭區"
"0","高雄高商(五褔二路)","22.62546,120.30784","22.62546","120.30784","高雄市新興區"
"0","澄清湖","22.65331,120.34949","22.65331","120.34949","高雄市鳥松區"
"0","察哈爾街口","22.64692,120.29658","22.64692","120.29658","高雄市三民區"
"0","臺鐵鳳山站","22.63155,120.35767","22.63155","120.35767","高雄市鳳山區"
"0","下勤和","23.16805,120.7756","23.16805","120.7756","高雄市桃源區"
"0","衛武社區","22.62695,120.34431","22.62695","120.34431","高雄市苓雅區"
"0","美術館(明誠四路)","22.66205,120.28635","22.66205","120.28635","高雄市鼓山區"
"0","五福民權路口(高雄高商)","22.62615,120.31039","22.62615","120.31039","高雄市新興區"
"0","安東街口(十全二路)","22.64599,120.29533","22.64599","120.29533","高雄市三民區"
"0","中央圓環","22.72192,120.30482","22.72192","120.30482","高雄市楠梓區"
"0","明正國小(捷運草衙站)","22.58118,120.3277","22.58118","120.3277","高雄市前鎮區"
"0","文學院","22.63374,120.26131","22.63374","120.26131","高雄市鼓山區"
"0","中鴻鋼鐵(岡山)","22.82472,120.29884","22.82472","120.29884","高雄市岡山區"
"0","臺鐵正義站(澄清路)","22.63416,120.34456","22.63416","120.34456","高雄市三民區"
"0","重和路口","22.68218,120.3142","22.68218","120.3142","高雄市左營區"
"0","中賢里","22.90801,120.20602","22.90801","120.20602","高雄市湖內區"
"0","中興(新發公路)","22.99612,120.64309","22.99612","120.64309","高雄市六龜區"
"0","育德街口","22.81186,120.28008","22.81186","120.28008","高雄市岡山區"
"0","四維國小(民權一路)","22.62274,120.31216","22.62274","120.31216","高雄市苓雅區"
"0","輕軌凱旋公園站(中正一路)","22.62996,120.32408","22.62996","120.32408","高雄市苓雅區"
"0","茄萣站","22.86876,120.19884","22.86876","120.19884","高雄市茄萣區"
"0","五福中正路口","22.62973,120.32064","22.62973","120.32064","高雄市苓雅區"
"0","木業公司(六龜)","23.00046,120.64495","23.00046","120.64495","高雄市六龜區"
"0","大寮農會","22.60159,120.39788","22.60159","120.39788","高雄市大寮區"
"0","美崙山","23.06753,120.68565","23.06753","120.68565","高雄市六龜區"
"0","中崙一路","22.6009,120.35051","22.6009","120.35051","高雄市鳳山區"
"0","衛武營都會公園(南京路)","22.61798,120.34572","22.61798","120.34572","高雄市鳳山區"
"0","必勝路","22.67543,120.284","22.67543","120.284","高雄市左營區"
"0","復華中學","22.6205,120.31417","22.6205","120.31417","高雄市苓雅區"
"0","鳳山行政中心(澄清路)","22.63032,120.34451","22.63032","120.34451","高雄市鳳山區"
"0","正義高中","22.60113,120.34013","22.60113","120.34013","高雄市鳳山區"
"0","捷運楠梓加工區站","22.71835,120.30649","22.71835","120.30649","高雄市楠梓區"
"0","先鋒路","22.67865,120.28271","22.67865","120.28271","高雄市左營區"
"0","金屬中心","22.71441,120.32599","22.71441","120.32599","高雄市楠梓區"
"0","監理所(高楠路)","22.73266,120.32024","22.73266","120.32024","高雄市楠梓區"
"0","成功南路","22.7506,120.31406","22.7506","120.31406","高雄市橋頭區"
"0","新庄(新莊路)","22.74556,120.30183","22.74556","120.30183","高雄市橋頭區"
"0","高雄車站(中山路)","22.63682,120.30221","22.63682","120.30221","高雄市三民區"
"0","鳳南路口","22.59217,120.3404","22.59217","120.3404","高雄市鳳山區"
"0","濟天宮(國慶六街)","22.58758,120.33797","22.58758","120.33797","高雄市前鎮區"
"0","六龜新站(親水公園)","23.00615,120.64858","23.00615","120.64858","高雄市六龜區"
"0","灣子內(岡山)","22.80953,120.28278","22.80953","120.28278","高雄市岡山區"
"0","北嶺墘","22.82115,120.26947","22.82115","120.26947","高雄市路竹區"
"0","味全公司","22.82728,120.26658","22.82728","120.26658","高雄市路竹區"
"0","立大食品廠","22.83649,120.26476","22.83649","120.26476","高雄市路竹區"
"0","鳳鳴國小","22.51528,120.35778","22.51528","120.35778","高雄市小港區"
"0","東盟公司","22.84868,120.26247","22.84868","120.26247","高雄市路竹區"
